Favorite,Title,Categories,URL,Categorías
No,AD d1seo,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://dise0.gitbook.io/h4cker_b00k/herramientas-tecnicas/hacking-activedirectory,Active Directory
No,Hacking Web d1seo,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://dise0.gitbook.io/h4cker_b00k/herramientas-tecnicas/hackingweb,"Burpsuite, SQLi, SSTI, Web, XSS"
No,LFI/RFI d1seo,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://dise0.gitbook.io/h4cker_b00k/herramientas-tecnicas/explotacion/lfi-local-file-inclusion,LFI/RFI
No,SharpUp,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://github.com/GhostPack/SharpUp/,SharpUp
No,Incursore,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md)," https://github.com/wirzka/incursore",Incursore
No,Socat y chisel directo Mario,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/_84NA5bSkf4?si=UBelwGLrIlGqb9x6,"Chisel, Socat"
No,Socat y chisel directo S4vitar,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=_7b_GQDfA5M,"Chisel, Socat"
No,Pass-The-Hash Mario,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),"https://youtu.be/o2afwqyKwwg?si=WXfkvPZX87Kjw24y ",Pass-the-Hash
No,Pass-The-Hash d1seo,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/UW_irHPhpFU?si=3hOcYVvxh2JnSRdw,Pass-the-Hash
No,"AD d1seo ",Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=lERSMV5hoqs&list=PLPu_4OyVV1QokA-u8_LoDAATf01_CWSa7,"Active Directory, Kerberos, PowerView"
No,"Hacking Web Rinku ",Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://www.youtube.com/watch?v=JsnnFALmj6g&list=PLg7ZNf8WsbWBM8afBFu5s1zBVSamVBE_7,"Burpsuite, SQLi, Web, XSS"
No,AD con PowerView,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md)," https://youtu.be/n3Ow_LKanMo?si=tPW1wJp_BFarydK7",PowerView
No,BloodHound (1),Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/nxfifv4_CLs?si=YD2PA3nICE4l1f_t,BloodHound
No,BloodHound (2),Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/MvtvD5SU9a4?si=dS8z-ApKoGvSwaAk,BloodHound
No,LDAP,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/-r-wzknpEXk?si=AAhX7sJLK4qP1b3K,LDAP
No,NTLM,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://book.hacktricks.wiki/en/windows-hardening/ntlm/index.html,NTLM
No,Pass the Hash Attacks with Windows NTLM Hash (OSCP),Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://medium.com/@raphaeltzy13/pass-the-hash-attacks-with-windows-ntlm-hash-oscp-116c680e8991,NTLM
No,Dumping Delegated Default Kerberos and NTLM Credentials w/o Touching LSASS,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://github.com/blackc03r/OSCP-Cheatsheets/blob/master/offensive-security/credential-access-and-credential-dumping/dumping-delegated-default-kerberos-and-ntlm-credentials-without-touching-lsass.md,"Kerberos, NTLM"
No,¿Qué es y por qué funciona Pass The Hash? – Autenticación NTLM,Apuntes (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Apuntes%201b1faf5bfa5c811fb2e3e0ee740daa1e.md),https://deephacking.tech/que-es-y-por-que-funciona-pass-the-hash-autenticacion-ntlm/,"NTLM, Pass-the-Hash"
No,Como EXTRAER TODA la informacion de WINDOWS y LINUX con WINPEAS - LINPEAS,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/Ka8cRVg2JtQ?si=yngPvUPswN5PJjak,"LinPEAS, WinPEAS"
No,Mimikatz: La llave maestra de los hackers,Vídeos (Recursos%201b1faf5bfa5c8030adb2eb2c7564dc09/Categories%201b1faf5bfa5c812da2adff2b86b459ef/Vi%CC%81deos%201b1faf5bfa5c81f8bc7fcce0db39655f.md),https://youtu.be/UOmRyvYMjNo?si=VqPlQPwEdmyeIknS,Mimikatz
No,,,,
